Site Name,latitude,longitude,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021
"Chapman  Ravine, Stinson Beach",37.887549,-122.641071,"15,500","3,000","1,000","2,000",0,0,49,800,503,"8,200",210,0,5
"Purple Gate, Bolinas",37.907382,-122.706055,"12,000","1,500",3,300,130,0,27,400,,"8,000",625,10,0
"Ardenwood  Historical Farm, Fremont",37.558156,-122.047958,"25,000",135,"1,000","1,500",,182,883,"4,188","1,032","2,409","2,075",3,7
"San Leandro Golf Course, San Leandro",37.694588,-122.184632,"25,000","2,000","1,050","2,500","4,900","6,000","5,000","7,000","5,000","12,864","7,817",702,175
"Moran Lake, Moran Lake",36.956595,-121.976866,"70,000","4,500","1,500","6,000","3,400","2,200","2,276","4,500",790,"5,800","5,400",400,"1,100"
"Natural Bridges State Beach, Santa Cruz",36.95022,-122.057486,"120,000","15,000","3,000","5,700","3,900","2,700","1,300","3,000","4,600","8,000","9,000","1,997","2,100"
"Butterfly Grove Sanctuary,  Pacific Grove",36.626641,-121.930066,"45,000","25,000","14,960","22,802","12,199","8,181",793,"12,265","13,420","11,472","7,350",642,"13,608"
"Monarch Lane, Los Osos (modified site)",35.312073,-120.859405,"3,000","1,500","2,000","1,160",100,400,246,395,540,3,"1,930",321,"1,020"
"Morro Bay Golf Course, Morro Bay",35.353836,-120.841505,"20,000","5,300","1,500","3,535","8,300","3,880","3,720","9,494","16,244","13,492","2,587",26,"8,464"
"Ellwood Main, Goleta",34.422747,-119.890769,"25,000","25,000","35,000","18,400","54,700","11,000","6,500","21,800","2,355","6,610","1,390",55,"3,874"
"Arrundel Barranca,  Ventura",34.252944,-119.267086,"40,000","4,900","2,900","4,650","1,833","1,300",,"2,500","3,075",834,303,285,"7,715"
"Norma Gibbs, Grahm St., Huntington",33.724786,-118.032923,350,7,8,1,60,1,175,25,135,,25,0,38
"UCSD Coast Site, Azul St.",32.871603,-117.244576,"2,400",10,15,0,10,0,5,2,60,150,0,1,9
"Presidio Park, Old Town",32.7587,-117.191164,250,17,25,13,20,20,5,10,15,3,1,0,8
"Busch Dr. & Pacific Coast Hwy., Malibu",34.01707,-118.818437,"6,500","1,500",200,535,"2,300","3,600",,,200,1,3,5,53
